Index,Date,Open,High,Low,Close,Volume,Market Cap
1154,"Mar 14, 2017",1232.16,1244.81,1220.72,1240.0,245306000.0,20107761880.0
1155,"Mar 13, 2017",1221.78,1237.37,1217.03,1231.92,380276992.0,19974334865.0
1156,"Mar 12, 2017",1176.62,1226.98,1175.36,1221.38,227176000.0,19801195767.0
1157,"Mar 11, 2017",1116.32,1193.83,1116.32,1175.83,283320000.0,19060468862.0
1158,"Mar 10, 2017",1189.36,1270.47,1077.25,1116.72,563795968.0,18100188612.0
1159,"Mar 09, 2017",1150.35,1197.46,1141.23,1188.49,212283008.0,19261188310.0
1160,"Mar 08, 2017",1223.23,1232.16,1148.08,1150.0,332603008.0,18635275050.0
1161,"Mar 07, 2017",1273.21,1275.55,1204.8,1223.54,291256000.0,19824773912.0
1162,"Mar 06, 2017",1267.47,1276.0,1264.6,1272.83,153656992.0,20620991547.0
1163,"Mar 05, 2017",1254.29,1267.29,1238.06,1267.12,134127000.0,20526235270.0
1164,"Mar 04, 2017",1277.43,1279.4,1230.51,1255.15,183270000.0,20329978338.0
1165,"Mar 03, 2017",1250.71,1280.31,1250.71,1274.99,315739008.0,20649259919.0
1166,"Mar 02, 2017",1224.68,1262.13,1215.62,1251.01,368275008.0,20258543188.0
1167,"Mar 01, 2017",1180.04,1222.5,1179.69,1222.5,229056992.0,19794459608.0
1168,"Feb 28, 2017",1180.72,1193.25,1171.82,1179.97,184956000.0,19103684801.0
1169,"Feb 27, 2017",1163.78,1181.98,1163.38,1179.97,131570000.0,19101427518.0
1170,"Feb 26, 2017",1144.27,1167.47,1130.2,1165.2,116486000.0,18860247630.0
1171,"Feb 25, 2017",1170.41,1174.85,1124.59,1143.84,139960992.0,18511906560.0
1172,"Feb 24, 2017",1172.71,1200.39,1131.96,1173.68,330759008.0,18992415818.0
1173,"Feb 23, 2017",1117.27,1176.62,1116.96,1166.72,189454000.0,18877442096.0
1174,"Feb 22, 2017",1114.8,1125.39,1100.55,1117.44,136100000.0,18077985665.0
1175,"Feb 21, 2017",1079.28,1117.25,1076.93,1115.3,186868992.0,18041455273.0
1176,"Feb 20, 2017",1048.69,1080.49,1041.69,1079.98,109478000.0,17468244508.0
1177,"Feb 19, 2017",1054.76,1056.81,1043.46,1047.87,77423296.0,16946913346.0
1178,"Feb 18, 2017",1049.21,1061.1,1046.96,1054.42,99073504.0,17051064834.0
1179,"Feb 17, 2017",1026.12,1053.17,1025.64,1046.21,136474000.0,16916338976.0
1180,"Feb 16, 2017",1007.65,1033.37,1007.65,1027.44,122277000.0,16610905026.0
1181,"Feb 15, 2017",1006.21,1008.84,1001.58,1007.48,89759400.0,16286329282.0
1182,"Feb 14, 2017",991.73,1011.51,986.47,1004.55,137946000.0,16237219721.0
1183,"Feb 13, 2017",998.89,1002.1,976.0,990.64,100607000.0,16010322103.0
1184,"Feb 12, 2017",1003.52,1004.76,996.92,999.18,67530000.0,16146290349.0
1185,"Feb 11, 2017",988.9,1009.29,982.83,1004.45,102261000.0,16229677099.0
1186,"Feb 10, 2017",995.63,998.91,946.69,988.67,190452000.0,15973053725.0
1187,"Feb 09, 2017",1064.7,1088.99,953.34,994.38,407220000.0,16063448932.0
1188,"Feb 08, 2017",1062.32,1078.97,1037.49,1063.07,201855008.0,17170799127.0
1189,"Feb 07, 2017",1040.14,1061.93,1040.14,1061.35,146007008.0,17141080574.0
1190,"Feb 06, 2017",1028.4,1044.64,1028.16,1038.15,111762000.0,16764422010.0
1191,"Feb 05, 2017",1043.52,1043.63,1022.37,1027.34,114208000.0,16588240157.0
1192,"Feb 04, 2017",1031.33,1045.9,1015.16,1042.9,155064000.0,16837411920.0
1193,"Feb 03, 2017",1011.46,1033.87,1008.79,1029.91,201278000.0,16625849489.0
1194,"Feb 02, 2017",990.0,1013.52,983.22,1011.8,145820992.0,16331615570.0
1195,"Feb 01, 2017",970.94,989.11,970.74,989.02,150110000.0,15962015276.0
1196,"Jan 31, 2017",920.96,972.02,920.96,970.4,164582000.0,15659186515.0
1197,"Jan 30, 2017",920.15,923.05,919.47,920.38,78227296.0,14850351605.0
1198,"Jan 29, 2017",922.07,923.42,919.15,919.5,60851700.0,14834377926.0
1199,"Jan 28, 2017",919.81,923.91,919.81,921.59,68979600.0,14866260449.0
1200,"Jan 27, 2017",918.36,923.22,915.85,919.75,125594000.0,14834831700.0
1201,"Jan 26, 2017",902.4,919.33,902.22,917.59,131958000.0,14797955301.0
1202,"Jan 25, 2017",891.92,903.25,891.69,901.54,120831000.0,14537488261.0
1203,"Jan 24, 2017",910.68,924.15,892.29,892.69,111349000.0,14393026385.0
1204,"Jan 23, 2017",925.5,928.27,916.74,921.01,73588600.0,14848013909.0
1205,"Jan 22, 2017",922.21,937.53,897.56,924.67,116573000.0,14905439337.0
1206,"Jan 21, 2017",895.55,927.37,895.53,921.79,111158000.0,14856911163.0
1207,"Jan 20, 2017",898.17,899.4,887.01,895.03,86728400.0,14423545371.0
1208,"Jan 19, 2017",888.34,904.61,884.34,899.07,105625000.0,14486616700.0
1209,"Jan 18, 2017",909.37,917.5,858.3,886.62,225676992.0,14284036613.0
1210,"Jan 17, 2017",830.95,910.56,830.8,907.94,155095008.0,14625779851.0
1211,"Jan 16, 2017",821.78,834.53,820.27,831.53,82755200.0,13393372620.0
1212,"Jan 15, 2017",818.14,823.31,812.87,821.8,71013600.0,13234840657.0
1213,"Jan 14, 2017",825.14,835.09,812.46,818.41,93063296.0,13178601992.0
1214,"Jan 13, 2017",803.74,829.0,780.0,823.98,168968000.0,13266554392.0
1215,"Jan 12, 2017",775.18,826.25,755.76,804.83,222326000.0,12956730411.0
1216,"Jan 11, 2017",908.11,919.45,762.77,777.76,310928992.0,12519135996.0
1217,"Jan 10, 2017",902.44,914.87,901.06,907.68,115808000.0,14608685049.0
1218,"Jan 09, 2017",913.24,913.69,879.81,902.83,141876992.0,14528815565.0
1219,"Jan 08, 2017",908.17,942.72,887.25,911.2,158715008.0,14661966429.0
1220,"Jan 07, 2017",903.49,908.59,823.56,908.59,279550016.0,14618030536.0
1221,"Jan 06, 2017",1014.24,1046.81,883.94,902.2,351876000.0,14513695758.0
