"species" "time" "speed"
"agouti" 0.612858796 0.162499994
"agouti" 0.614918981 0.211428574
"tamandua" 0.569548611 0.087142859
"agouti" 0.343414352 0.305000007
"brocket" 0.737997685 0.393333316
"brocket" 0.866840278 0.26400001
"agouti" 0.269976852 0.185000002
"agouti" 0.700462963 0.188571436
"ocelot" 0.688032407 0.314999998
"paca" 0.024965278 0.167500004
"paca" 0.01005787 0.151999998
"squirrel" 0.350393519 0.081249997
"paca" 0.949803241 0.139999998
"agouti" 0.524166667 0.280000001
"agouti" 0.412048611 0.113750003
"tamandua" 0.689456019 0.178571429
"agouti" 0.343206019 0.310000002
"agouti" 0.638414352 0.100000001
"rat" 0.129097222 0.704999983
"agouti" 0.321979167 0.089999998
"coati" 0.355659722 0.160000001
"brocket" 0.515821759 0.855000019
"armadillo" 0.919791667 0.089999998
"rat" 0.832013889 0.270000005
"agouti" 0.263483796 0.311999989
"agouti" 0.500046296 0.115000002
"agouti" 0.314479167 0.620000005
"armadillo" 0.12650463 0.132499993
"agouti" 0.728009259 0.059999998
"agouti" 0.515833333 0.289999992
"agouti" 0.445081019 0.262857148
"agouti" 0.461412037 0.155000001
"agouti" 0.392164352 0.088333329
"rat" 0.967384259 0.174999997
"rat" 0.900787037 0.200000003
"rat" 0.84150463 0.300000012
"agouti" 0.34837963 0.200000008
"agouti" 0.523831019 0.174999997
"agouti" 0.698726852 0.233333329
"agouti" 0.766168981 0.349999994
"paca" 0.148310185 0.400000006
"rat" 0.856423611 0.400000006
"agouti" 0.471226852 0.299999992
"peccary" 0.328159722 0.449999988
"paca" 0.050983796 0.449999988
"paca" 0.823506944 0.299999992
"paca" 0.017534722 0.449999988
"peccary" 0.75712963 0.5
"coati" 0.528530093 0.300000012
"peccary" 0.861111111 0.649999976
"brocket" 0.686215278 0.466666659
"agouti" 0.388020833 0.5
"agouti" 0.298564815 0.800000012
"peccary" 0.734386574 0.533333341
"peccary" 0.675324074 0.533333341
"peccary" 0.671435185 0.566666683
"brocket" 0.671631944 0.566666683
"agouti" 0.428298611 0.566666683
"peccary" 0.6775 0.599999984
"coati" 0.474537037 0.599999984
