"distance" "angle" "species" "season" "mass" "time"
2 11 "agouti" "E" 3.47 "day"
1.04 11 "agouti" "L" 3.47 "day"
0.68 10 "armadillo" "L" 4.2 "night"
1.52 9 "paca" "L" 8 "night"
1.65 8 "agouti" "L" 3.47 "day"
2.45 8 "agouti" "L" 3.47 "day"
2.1 8 "brocket" "L" 22.8 "day"
1.72 7 "agouti" "L" 3.47 "day"
1.93 7 "agouti" "M" 3.47 "day"
5.1 6 "peccary" "E" 25.2 "night"
2.77 5 "agouti" "L" 3.47 "day"
2 5 "tayra" "E" 5 "day"
2.15 4 "ocelot" "M" 11.9 "night"
1.6 3 "agouti" "E" 3.47 "day"
1.76 3 "mouse" "L" 0.1 "night"
1.3 3 "agouti" "M" 3.47 "day"
1.9 3 "brocket" "E" 22.8 "night"
2.18 2 "agouti" "M" 3.47 "day"
0.98 2 "agouti" "L" 3.47 "day"
4.68 2 "agouti" "L" 3.47 "day"
1.59 1 "brocket" "M" 22.8 "night"
0.84 0 "mouse" "L" 0.1 "night"
0.74 0 "ocelot" "L" 11.9 "night"
1.71 0 "coati" "L" 4.03 "day"
1.62 0 "agouti" "L" 3.47 "day"
2.53 0 "peccary" "L" 25.2 "night"
2.94 0 "agouti" "M" 3.47 "day"
1.69 0 "agouti" "L" 3.47 "day"
1.85 0 "coati" "L" 4.03 "day"
3.1 0 "agouti" "L" 3.47 "day"
2.7 0 "agouti" "E" 3.47 "day"
4 0 "agouti" "E" 3.47 "day"
0.91 0 "ocelot" "L" 11.9 "night"
2.9 0 "coati" "E" 4.03 "day"
3.9 0 "agouti" "E" 3.47 "day"
0.5 0 "brocket" "L" 22.8 "day"
1.58 0 "brocket" "M" 22.8 "night"
2.73 -1 "squirrel" "M" 0.4 "day"
1.1 -1 "tamandua" "L" 4.21 "day"
2.23 -1 "agouti" "M" 3.47 "day"
1.42 -1 "ocelot" "L" 11.9 "night"
2.1 -1 "mouse" "M" 0.1 "night"
1.12 -1 "agouti" "L" 3.47 "day"
1.3 -1 "agouti" "E" 3.47 "day"
0.9 -1 "agouti" "L" 3.47 "day"
2.55 -2 "rat" "M" 0.359 "night"
1.11 -2 "mouse" "M" 0.1 "night"
2.5 -2 "squirrel" "E" 0.4 "day"
1.34 -3 "agouti" "L" 3.47 "day"
1.7 -3 "agouti" "E" 3.47 "day"
1.56 -4 "agouti" "L" 3.47 "day"
2.1 -6 "agouti" "M" 3.47 "day"
2.3 -6 "coati" "E" 4.03 "day"
4.45 -8 "peccary" "M" 25.2 "day"
2.38 -8 "mouse" "M" 0.1 "night"
1.71 -8 "squirrel" "L" 0.4 "day"
0.73 -8 "agouti" "M" 3.47 "day"
2.55 -8 "agouti" "M" 3.47 "day"
3.42 -8 "agouti" "M" 3.47 "day"
2.48 -9 "tamandua" "M" 4.21 "day"
1.73 -9 "agouti" "L" 3.47 "day"
2.68 -9 "brocket" "M" 22.8 "day"
3.68 -9 "brocket" "M" 22.8 "night"
0.83 -10 "agouti" "M" 3.47 "day"
2.63 -11 "agouti" "L" 3.47 "day"
1.04 -12 "ocelot" "L" 11.9 "day"
3.14 -12 "paca" "M" 8 "night"
3.18 -13 "paca" "M" 8 "night"
1.38 -15 "squirrel" "M" 0.4 "day"
2.31 -16 "paca" "M" 8 "night"
1.1 -16 "agouti" "L" 3.47 "day"
2.42 -17 "agouti" "M" 3.47 "day"
2.06 -18 "tamandua" "L" 4.21 "day"
1.26 -19 "agouti" "M" 3.47 "day"
2.41 -20 "agouti" "M" 3.47 "day"
0.65 -20 "rat" "M" 0.359 "night"
3.28 -21 "agouti" "M" 3.47 "day"
1.84 -21 "coati" "L" 4.03 "day"
2.48 -23 "brocket" "M" 22.8 "day"
4.31 -24 "armadillo" "L" 4.2 "night"
1.2 -24 "rat" "M" 0.359 "night"
1.34 -24 "agouti" "M" 3.47 "day"
3.96 -27 "agouti" "M" 3.47 "day"
1.42 -27 "agouti" "L" 3.47 "day"
